ko_word,title,en_word,ko_meaning,en_meaning,en_pronun,lyric
쩔어,쩔어(Dope),Dope,내가 최고라는 의미입니다.,I'm the best,Jjeoreo,난 좀 쩔어 
쩔어 ,쩔어(Dope),Exhausted,한 일에 몰두를 해서 피곤하다는 의미 입니다.,I am tired from being absorbed in a task.,Jjeoreo,작업실에 쩔어 살어
찌질이,쩔어(Dope),A loser/ A nobody,보통 어리석거나 비겁하고 우유부단한 사람이라는 의미입니다.,A person who is foolish/ cowardly/ or indecisive; someone who is seen as lacking in appeal or attractiveness,Jjijiri,찌질이/ 비실이/ 찡찡이들 
비실이,쩔어(Dope),Weakling,힘이 없고 약해 보이는 사람을 가리키는 별명입니다.,A person who appears weak and lacking in strength.,Bisiri,찌질이/ 비실이/ 찡찡이들 
찡찡이,쩔어(Dope),Crybaby,불평이 많고 잘 우는 사람을 가리키는 별명입니다.,A person who complains a lot and often cries.,Jjingjjingi,찌질이/ 비실이/ 찡찡이들
띨띨이들,쩔어(Dope),Idiots,약간 멍청하고 느리게 행동하는 사람을 가리키는 별명입니다.,A person who is somewhat stupid and acts slowly,Ddilddiri,띨띨이들 앞으로 가
3포세대,쩔어(Dope),Three-give-up generation ,3포세대는 연애/ 결혼/ 출산을 포기한 세대를 의미합니다.,(refers to the generation that has given up on courtship/ marriage/ and having children due to economic pressures),Sam-po sedae,난 다 포기하지 너는 절대 안 돼 넌 3포세대/ 5포세대/ 6포세대
5포세대,쩔어(Dope),Five-give-up generation,5포세대는 연애/ 결혼/ 출산/ 인간관계/ 집 마련을 포기한 세대를 의미합니다.,(refers to the generation that has also given up on employment and home ownership in addition to the three mentioned above),O-po sedae,난 다 포기하지 너는 절대 안 돼 넌 3포세대/ 5포세대/ 6포세대
6포세대,쩔어(Dope),Six-give-up generation,육포세대는 연애/ 결혼/ 출산/ 인간관계/ 집 마련/ 꿈을 포기한 세대를 의미하며/ 육포 (beef jerky)와 발음이 같아서 재미있는 표현으로 사용됩니다.,(a play on words involving 육포 meaning beef jerky and 6포 referring to six aspects of life given up/ including the previous five plus interpersonal relationships,Yuk-po sedae,난 다 포기하지 너는 절대 안 돼 넌 3포세대/ 5포세대/ 6포세대
방탄스타일,쩔어(Dope),Bangtan Style,방탄스타일은 방탄소년단(BTS)의 독특한 스타일과 태도를 의미합니다. 방탄은 총알을 막아내다는 뜻으로/ 그들의 음악과 메시지가 어려움과 비판에 굴하지 않고 나아가는 것을 상징합니다.,Bangtan Style refers to BTS's unique style and attitude. Bangtan means to deflect bullets/ symbolizing how their music and messages represent moving forward despite difficulties and criticism.,Bangtan Style,방탄 스타일로 살아가네
설국열차,봄날 (Spring Day),Snowpiercer,기차의 이름/ 지구를 끝에서 끝까지 연결하는 상징적인 기차를 의미합니다.,Title of a film; a symbolic train traveling from end to end of the Earth,Seolgugyeolcha,홀로 남은 설국열차 니 손 잡고 지구 반대편까지 가
허공을 떠도는 작은 먼지,봄날 (Spring Day),Dust drifting in the air	,공중에 떠다니는 작은 먼지를 의미합니다.,Tiny particles floating in the air; symbolically representing something insubstantial and drifting,Heogongeul tteodonun jageun meonji,허공을 떠도는 작은 먼지처럼 작은 먼지처럼
추운 겨울 끝,봄날 (Spring Day),End of this cold winter	,겨울이 끝나는 시점/ 특히 차가운 겨울이 지나가는 시점이라는 의미입니다.,"The conclusion of a cold winter; metaphorically representing the end of a difficult period
",Chuun gyeoul kkeut,추운 겨울 끝을 지나 다시 봄날이 올 때까지
뱁새,뱁새 (beap sae),Korean-crow-tit,작은 새를 의미하며/ 여기서는 사회에서 약자나 불리한 위치에 있는 사람들을 상징합니다. 주어진 여건이나 환경이 좋지 않아서 힘겹게 살아가는 사람들을 비유적으로 표현한 것입니다.,Symbolizes those in society who are weak or in a disadvantaged position/ struggling due to poor conditions.,Baep sae,They call me 뱁새
탱탱,뱁새 (beap sae),Tautly,탱탱하다'는 단어에서 비롯된 것으로/ 여기서는 뱁새가 황새를 따라가려고 하다가 다리가 버텨내지 못하고 부러질 것 같은 상황을 묘사하는 표현입니다.,Describes a situation where a sparrow tries to follow a stork but struggles and risks breaking its legs.,Teng Teng,황새 덕에 내 가랑인 탱탱
알바,뱁새 (beap sae),Part-time job,아르바이트'의 줄임말로/ 여기서는 저임금 비정규직 노동을 의미합니다. 주로 젊은 세대가 생계를 유지하기 위해 하는 일시적인 일을 뜻합니다.,Refers to low-wage/ temporary work/ often done by young people to sustain themselves.,Alba,알바가면 열정페이
열정페이,뱁새 (beap sae),Passion pay,열정'과 '페이'의 합성어로/ 주로 젊은 사람들이 열정과 경험을 얻는다는 이유로 저임금 또는 무급으로 일하는 것을 의미합니다. 이는 고용주가 젊은 노동자의 열정을 이용하여 정당한 보수를 지불하지 않는 상황을 비판적으로 표현한 용어입니다.,Refers to the exploitation of young workers who are paid very little under the pretext that their work experience is valuable/ often justified by their passion or enthusiasm.,Yeoljeong Pay,알바가면 열정페이
몇 포 세대,뱁새 (beap sae),N-po generation,특정 숫자 앞에 '포'가 붙어 '몇 가지를 포기한 세대'를 의미합니다. 예를 들어/ '삼포 세대'는 연애/ 결혼/ 출산을 포기한 세대를 의미합니다. 이 가사에서는 여러 가지를 포기해야 하는 세대를 비유적으로 표현한 것입니다.,A generation that has given up several things (e.g./ 3-po generation refers to giving up dating/ marriage/ and childbirth).,Myeot Po Sedae,언론에선 맨날 몇 포 세대
황새다리,뱁새 (beap sae),Stork legs,황새의 긴 다리를 의미하며/ 여기서는 좋은 여건과 조건을 가진 사람들을 상징합니다. 긴 다리를 가진 황새처럼 높은 위치에 있는 사람들을 비유한 것입니다.,Symbolizes those with good conditions/ like the long legs of a stork/ representing a high position in society.,Hwangsaedari,난 뱁새다리 넌 황새다리
뱁새다리,뱁새 (beap sae),Stork legs,뱁새의 짧은 다리를 의미하며/여기서는  불리한 여건과 조건을 가진 사람들을 상징합니다. 짧은 다리를 가진 뱁새처럼 낮은 위치에 있는 사람들을 비유한 것입니다.,Refers to people born into wealthy families/ symbolizing those who grow up in economically affluent environments.,Bbaebsaedari,난 뱁새다리 넌 황새다리
금수저,뱁새 (beap sae),Born with a silver spoon,부유하게 태어난 사람을 의미합니다.,Refers to people born into wealthy families/ symbolizing those who grow up in economically affluent environments.,Geumsujeo,금수저로 태어난 내 선생님
싹수,뱁새 (beap sae),Sprout,싹수'는 식물이 자라날 싹의 가능성을 의미하며/여기서는 사람이 앞으로 성공할 가능성이나 희망을 의미합니다. 여기서는 주로 부정적인 의미로 사용되어/ 좋은 가능성이 없는 사람들을 비유한 것입니다.,Represents the potential or hope for future success/ often used negatively to describe someone with little to no potential.,Ssaksu,노랗구나 싹수가
심청이,힙합성애자 (Hip hop lover),Sim cheong,심청이는 한국 전통설화 심청전의 주인공입니다.심청이는 효녀로서/ 아버지를 위해 자신의 목숨을 바치고/ 후에 용궁에서 구출되며 행복한 결말을 맞는 이야기로 알려져 있습니다. 가사에서는 아버지를 구하는 심청이의 효만큼 방탄에게 힙합이라는 장르가 좋다는 의미입니다.,Shim Cheong is the protagonist of the Korean traditional folktale Shimcheongjeon. Shim Cheong is known as a filial daughter/ who sacrifices her life for her father/ later gets rescued from the underwater palace/ and has a happy ending. In the lyrics/ it means that hip-hop is as good for BTS as Shim Cheong’s filial piety for her father.,Sim cheong,심청이마냥 급 다가와
에픽하이,힙합성애자 (Hip hop lover),EPIK HIGH,한국의 대표 랩/힙합 아티스트입니다. 방탄소년단이 이들에게 영감을 받았습니다.,"A representative Korean rap/hip-hop artist. BTS was inspired by them.
",Eplk High,별 거 없어 에픽하이
아주머니,힙합성애자 (Hip hop lover),Madam aunt,중년 이상의 여성/ 특히 나이가 많거나 친근한 관계에 있는 여성에게 사용하는 표현입니다.,This is an expression used for middle-aged or older women/ especially women who are elderly or have a close relationship.,Ajumeoni,그때의 난 아주머니
개입함,힙합성애자 (Hip hop lover),Intrvene,특정사건이나 상황에 직접적으로 개입하거나 영향을 미치는 행위를 설명하는 개념입니다. 앞의 가사와 이어지게 힙합에 입학하여 힙합 대한 가사를 쓰며 개입하고 있다는 의미입니다. ,"It is a concept that explains the act of directly intervening or influencing a specific event or situation. In connection with the previous lyrics/ it means that they are writing lyrics about hip-hop by entering the hip-hop scene and engaging with it.
",Gaeibham,몸으로 느끼며 개입함
부갈루 킹텃,힙합성애자 (Hip hop lover),Boogaloo king-Tut,팝핀의 창시자인 부갈루 샘이 만든 스타일이다. 옛날 올드스쿨의 춤처럼 리듬을 탄다는 가사의 의미입니다.,It is a style created by Boogaloo Sam/ the founder of popping. The lyrics mean dancing to the rhythm like the old school dance.,Boogaloo king-Tut,부갈루 킹텃 올드스쿨 리듬 타
빅히트,힙합성애자 (Hip hop lover),Bighit,빅히트는 아티스트의 글로벌 성공을 지원하고/ 혁신적인 콘텐츠와 팬과의 소통을 통해 음악 산업의 새로운 패러다임을 제시하고 있는 기업입니다.,"Big Hit is a company that supports the global success of artists and presents a new paradigm in the music industry through innovative content and communication with fans.
",Bighit,빅히트 위탁에 rhyme
다듀 버벌,힙합성애자 (Hip hop lover),Dynamic Duo Verbal Jint,한국 힙합 그룹인 다이나믹 듀오와 한국 힙합 가수 버벌진트의 줄임말입니다.,"It is an abbreviation for the Korean hip-hop group Dynamic Duo and the Korean hip-hop artist Verbal Jint.
",DaDuo ,다듀 버벌 with 에픽 하이
덕지덕지,힙합성애자 (Hip hop lover),Thickly,무언가를 계속해서 더해서 만들어나가는 의미입니다.,"It means to keep adding something continuously.",Deogjideogji,덕지덕지 발라 가사랍시고 썼지
꼬맹이,힙합성애자 (Hip hop lover),Kkomengi,어린아이를 친근하게 부르는 말입니다. 가사에서 방탄 자신을 어리고 아무것도 몰랐던 사람이라고 말하고 있습니다.,"A friendly term used to refer to young children. In the lyrics/ BTS is referring to themselves as young and naive.
",Kkomaeng-i,삶을 혐오했던 꼬맹이의 조숙함
송두리째,힙합성애자 (Hip hop lover),Completely,송두리째는 전부 또는 전체를 의미하는 한국어 단어로/ 어떤 것의 일부가 아니라 모든 것을 가리킬 때 사용합니다. ,"Songdurichae means all or entire in Korean/ and is used to refer to the whole of something rather than a part. 
",Songdulijjae,날 송두리째 뒤집어놔
대구 남산동,힙합성애자 (Hip hop lover),Daegu Namsan-dong,대구 남산동은 대한민국의 도시 이름으로 슈가의 고향입니다. ,"Daegu Namsan-dong is a neighborhood in South Korea/ which is Suga's hometown.
",Daegu Namsan-dong,대구 남산동의 작업실에
골백번,힙합성애자 (Hip hop lover),A hundred times,골백번은 매우 여러 번을 의미하는 한국어 표현으로/ 어떤 일을 반복해서 많이 했다는 뜻을 강조할 때 사용됩니다. ,Golbaekbeon is a Korean expression that means very many times and is used to emphasize that something has been done repeatedly a lot. ,Golbaegbeon,난 골백번은 넘게 더 죽었어
언수외,힙합성애자 (Hip hop lover),Needless to say,언수외는 말할 것도 없다 또는 말할 필요가 없다는 뜻을 가진 표현입니다.,"Eonsuoe means there's no need to say or it's needless to say.
",Eonsuoe,학창시절에 받는 언수외 대신해서
삐이,불타오르네 (Fire),Beep ,욕설을 줄여서 말하거나 이명소리를 말하는 것입니다.,To make a short/ loud sound,Ppi,다 엉망진창 livin' like 삐이
만신창이,불타오르네 (Fire),wrecked,만신창이는 몸 상태나 정신 상태가 완전히 망가졌다는 의미를 가지고 있습니다. 술에 취해서 몸도 마음도 엉망인 상태를 나타냅니다.,Refers to being in a completely ruined or disheveled state. A good English equivalent would be wrecked or messed up.,man-shin-chang-i,다 만신창이로 취했어/ 취했어
수저,불타오르네 (Fire),Privilege,수저는 한국 사회에서 부모의 경제적 지위를 나타내는 은유적 표현으로 사용됩니다. ,A metaphor for the economic status one is born into. Suitable English words would be social status or privilege.,Soo-jeo,그 말하는 넌 뭔 수저길래? 수저/ 수저 거려? 난 사람인데
애쓰지,불타오르네 (Fire),Try hard,어떠한 문제를 해결하기위해 최선을 다하는 것입니다.,I'm doing my best to solve any problems.,Aesseuji,애쓰지 좀 말어 져도 괜찮아
맨주먹,불타오르네 (Fire),Bare knuckle,가사에서는 아무 준비도 갖추지 아니한 상태를 비유적으로 이르는 의미입니다.,In the lyrics/ it means figuratively referring to a state that is not prepared for anything.,Manenjumeok,Fire 맨주먹을 들고 all night long
얼쑤,아이돌 (IDOL),Eolssu,얼씨구의 준말로 주로 민요에서 많이 쓰이는 말입니다.,Oh yeah / It's a abbreviation of Il Si-gu/ and it's a word that is often used in folk songs.,Eolssu,얼쑤 좋다
지화자,아이돌 (IDOL),Jihwaja,흥을 돋우기 위하여 노래나 춤의 곡조에 맞추어 내는 소리의미 입니다.,It's the meaning of the sound that matches the tune of the song or dance to make it exciting.,Jihwaja,지화자 좋다
손가락질 해 ,아이돌 (IDOL),Pointing,누군가를 얕보거나 흉보는 것을 의미합니다.,It means looking down on someone or stinging at them.,Songalagjil,손가락질 해 나는 전혀 신경 쓰지 않네
어쩌고 저쩌고,아이돌 (IDOL),Blah blah,길고 의미없는 말을 계속한다는 의미를 가지고 있습니다.,It has the meaning of continuing to say long and meaningless words.,eojjepgo jeojjeogo,뭘 어쩌고 저쩌고 떠들어대셔
덩기덕 쿵더러러,아이돌 (IDOL),Deonggideokkung deoreoreo,주로 경기도에서 많이 쓰는 장단으로 흥을 돋우려고 사용하고 있습니다.,It's mainly used in Gyeonggi-do to make it exciting.,Deonggideokkung deoreoreo,덩기덕 쿵더러러
오우삼,아이돌 (IDOL),Ousam,영화감독 오우삼을 말하며 아시안 중에서도 세계적으로 유명한 이를 샤라웃 한것입니다.,I'm talking about the film director Oh Woo-sam/ and I'm talking about the world-famous one among Asians.,Ousam,Face off 마치 오우삼 ay
걍,아이돌 (IDOL),Just ,단지/ 그냥 별로 큰 뜻이 없다는 의미를 줄여서 말합니다.,Just/ I'm just shortening the meaning that it doesn't mean much.,Gyang,고민보다는 걍 달리네
아님,아이돌 (IDOL),No ,어떤 현실을 부정하는 뜻을 나타내는 말입니다.,It means to deny a certain reality.,Anim,아님 어떤 다른 뭐라 해도 I don't care